Pakistan_Crop_Name,FAO_Item_Name,FAO_Code,HS_Code,HS_Description,FABLE_Category,Action,Conv_Factor
Not grown,Cocoa butter; fat and oil,664,1804.00,"Cocoa butter, fat and oil",BEVSPICES,CONVERT,1.33
Not grown,Cocoa powder and cake,665,1805.00,"Cocoa powder, not sweetened",BEVSPICES,CONVERT,1.18
Not grown,Cocoa beans,661,1806.10,Cocoa powder with added sugar,BEVSPICES,EXCLUDE,—
Not grown,Cocoa beans,661,1806.31,Chocolate in blocks/slabs,BEVSPICES,EXCLUDE,—
Coriander + Turmeric + Ginger,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw,689,0904.20,"Chillies (capsicum/pimenta), dried (pre-2012 code)",BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw,689,0904.21,"Chillies (capsicum/pimenta), dried, whole",BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Cloves (whole stems); raw,698,0907.00,Cloves (pre-2012 code),BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Cloves (whole stems); raw,698,0907.10,Cloves,BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw,711,0909.20,Coriander seeds (pre-2012 code),BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw,711,0909.21,Coriander seeds,BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Ginger; raw,720,0910.10,Ginger (pre-2012 code),BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,Ginger; raw,720,0910.11,"Ginger, fresh or dried",BEVSPICES,INCLUDE,1.00
Coriander + Turmeric + Ginger,—,—,0910.30,Turmeric (curcuma),BEVSPICES,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.11,"Fish; fresh or chilled, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, fish meat of 0304, and edible fish offal of 0302.9",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.12,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.13,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.14,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.19,"Fish; fresh or chilled, salmonidae, n.e.c. in item no. 0302.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.21,"Fish; fresh or chilled, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.22,"Fish; fresh or chilled, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.23,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.24,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.29,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.31,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.32,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.33,"Fish; fresh or chilled, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.34,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.35,"Fish; fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.36,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.39,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.40,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.41,"Fish; fresh or chilled, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.42,"Fish; fresh or chilled, anchovies (Engraulis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.43,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.44,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.45,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.46,"Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.47,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.49,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.50,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.51,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.52,"Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.53,"Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.54,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.55,"Fish; fresh or chilled, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.56,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis),excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.59,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.61,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.62,Haddock (Melanogrammus aeglefinus),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.63,Coalfish (Pollachius virens),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.64,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.65,Dogfish and other sharks,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.66,Eels (Anguilla spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.67,Swordfish (Xiphias gladius),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.68,Toothfish (Dissostichus spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.69,Other,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.70,Livers and roes,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.71,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.72,"Fish; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.73,"Fish; fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.74,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.79,"Fish; fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.81,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.82,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.83,"Fish; fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.84,"Fish; fresh or chilled, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.85,"Fish; fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.89,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.90,Livers and roes,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.91,"Fish; fresh or chilled, livers, roes and milt",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.92,"Fish; fresh or chilled, shark fins",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0302.99,"Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.10,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.11,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.12,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.13,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.14,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.19,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.21,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.22,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.23,"Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.24,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.25,"Fish; frozen, carp (as specified by the WCO), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.26,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.29,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.31,"Fish; frozen, halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.32,"Fish; frozen, plaice (Pleuronectes platessa), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.33,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.34,"Fish; frozen, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.39,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.41,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.42,"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.43,"Fish; frozen, skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.44,"Fish; frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.45,"Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.46,"Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.49,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.50,"Herrings (Clupea harengus, Clupea pallasii), excluding Livers and roes",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.51,"Fish; frozen, herrings (Clupea harengus, Clupea pallasii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.52,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.53,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.54,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.55,"Fish; frozen, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.56,"Fish; frozen, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.57,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.59,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.60,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding Livers and roes",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.61,Swordfish (Xiphias gladius),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.62,Toothfish (Dissostichus spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.63,"Fish; frozen, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.64,"Fish; frozen, haddock (Melanogrammus aeglefinus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.65,"Fish; frozen, coalfish (Pollachius virens), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.66,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.67,"Fish; frozen, Alaska pollock (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.68,"Fish; frozen, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.69,"Fish; frozen, of Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae, Muraenolepididae, other than cod, haddock, coalfish, hake, Alaska pollack, blue whitings, not fillets, meat of 0304, and edible offal of 0303.9",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.71,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.72,Haddock (Melanogrammus aeglefinus),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.73,Coalfish (Pollachius virens),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.74,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.75,Dogfish and other sharks,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.76,Eels (Anguilla spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.77,"Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.78,"Hake (Merluccius spp., Urophycis spp.)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.79,Other,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.80,Livers and roes,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.81,"Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.82,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.83,"Fish; frozen, toothfish (Dissostichus spp.), excluding fillets, livers, roes, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.84,"Fish; frozen, seabass (Dicentrarchus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.89,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.90,Livers and roes,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.91,"Fish; frozen, livers, roes and milt",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.92,"Fish; frozen, shark fins",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0303.99,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.10,Fresh or chilled :,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.11,Swordfish (Xiphias gladius),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.12,Toothfish (Dissostichus spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.19,Other,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.20,Frozen fillets,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.21,Swordfish (Xiphias gladius),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.22,Toothfish (Dissostichus spp.),FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.29,Other,FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.31,"Fish fillets; fresh or chilled, tilapias (Oreochromis spp.)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.32,"Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.33,"Fish fillets; fresh or chilled, Nile perch (Lates niloticus)",FISH,INCLUDE,1.00
Fish (Inland + Marine),Fish,—,0304.39,"Fish fillets; fresh or chilled, carp (as specified by the WCO), eels (Anguilla spp.), and snakeheads (Channa spp.)",FISH,INCLUDE,1.00
